arch,dtype,state_dtype,b,sq,num_k_heads,num_v_heads,head_k_dim,head_v_dim,NUM_BLOCKS_PER_V_DIM,NUM_WARPS,WARP_THREADS_K,duration
gfx950,torch.bfloat16,torch.bfloat16,14,1,4,8,128,128,8,4,16,6.358999999999924
gfx950,torch.bfloat16,torch.bfloat16,15,1,4,8,128,128,8,4,16,6.45900000000006
gfx950,torch.bfloat16,torch.bfloat16,16,1,4,8,128,128,8,4,16,6.558999999999969
gfx950,torch.bfloat16,torch.bfloat16,17,1,4,8,128,128,8,4,16,6.839000000000169
gfx950,torch.bfloat16,torch.bfloat16,18,1,4,8,128,128,8,4,16,6.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,19,1,4,8,128,128,8,4,16,7.0190000000000055
gfx950,torch.bfloat16,torch.bfloat16,20,1,4,8,128,128,8,4,16,7.119000000000028
gfx950,torch.bfloat16,torch.bfloat16,21,1,4,8,128,128,8,4,16,7.439000000000078
gfx950,torch.bfloat16,torch.bfloat16,22,1,4,8,128,128,8,4,16,7.558999999999969
gfx950,torch.bfloat16,torch.bfloat16,23,1,4,8,128,128,4,4,16,7.638999999999896
gfx950,torch.bfloat16,torch.bfloat16,24,1,4,8,128,128,8,4,16,7.7590000000000146
gfx950,torch.bfloat16,torch.bfloat16,25,1,4,8,128,128,4,4,16,8.278999999999996
gfx950,torch.bfloat16,torch.bfloat16,26,1,4,8,128,128,4,4,16,8.298999999999978
gfx950,torch.bfloat16,torch.bfloat16,27,1,4,8,128,128,8,4,16,8.419500000000085
gfx950,torch.bfloat16,torch.bfloat16,28,1,4,8,128,128,8,4,16,8.499000000000024
gfx950,torch.bfloat16,torch.bfloat16,29,1,4,8,128,128,8,4,16,8.659500000000094
gfx950,torch.bfloat16,torch.bfloat16,30,1,4,8,128,128,8,1,8,8.759000000000015
gfx950,torch.bfloat16,torch.bfloat16,31,1,4,8,128,128,2,4,8,8.819000000000074
gfx950,torch.bfloat16,torch.bfloat16,32,1,4,8,128,128,2,4,8,8.97950000000003
gfx950,torch.bfloat16,torch.bfloat16,33,1,4,8,128,128,4,4,16,9.298999999999978
gfx950,torch.bfloat16,torch.bfloat16,34,1,4,8,128,128,4,4,16,9.399000000000115
gfx950,torch.bfloat16,torch.bfloat16,35,1,4,8,128,128,4,4,16,9.559000000000083
gfx950,torch.bfloat16,torch.bfloat16,36,1,4,8,128,128,4,4,16,9.699499999999944
gfx950,torch.bfloat16,torch.bfloat16,37,1,4,8,128,128,4,4,16,9.699499999999944
gfx950,torch.bfloat16,torch.bfloat16,38,1,4,8,128,128,4,4,16,9.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,39,1,4,8,128,128,4,4,16,9.918999999999983
gfx950,torch.bfloat16,torch.bfloat16,40,1,4,8,128,128,4,4,16,9.999000000000024
gfx950,torch.bfloat16,torch.bfloat16,41,1,4,8,128,128,2,4,16,10.338999999999942
gfx950,torch.bfloat16,torch.bfloat16,42,1,4,8,128,128,4,4,16,10.438999999999965
gfx950,torch.bfloat16,torch.bfloat16,43,1,4,8,128,128,4,4,16,10.43899999999985
gfx950,torch.bfloat16,torch.bfloat16,44,1,4,8,128,128,4,4,16,10.57899999999995
gfx950,torch.bfloat16,torch.bfloat16,45,1,4,8,128,128,4,4,16,10.63900000000001
gfx950,torch.bfloat16,torch.bfloat16,46,1,4,8,128,128,4,4,16,10.679500000000075
gfx950,torch.bfloat16,torch.bfloat16,47,1,4,8,128,128,4,4,16,10.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,48,1,4,8,128,128,4,4,16,10.678999999999974
gfx950,torch.bfloat16,torch.bfloat16,49,1,4,8,128,128,4,4,16,11.199000000000012
gfx950,torch.bfloat16,torch.bfloat16,50,1,4,8,128,128,4,4,16,11.279499999999985
gfx950,torch.bfloat16,torch.bfloat16,51,1,4,8,128,128,2,4,16,11.47950000000003
gfx950,torch.bfloat16,torch.bfloat16,52,1,4,8,128,128,4,4,16,11.499000000000024
gfx950,torch.bfloat16,torch.bfloat16,53,1,4,8,128,128,4,2,16,11.619499999999903
gfx950,torch.bfloat16,torch.bfloat16,54,1,4,8,128,128,4,4,16,11.55900000000014
gfx950,torch.bfloat16,torch.bfloat16,55,1,4,8,128,128,4,4,16,11.678999999999917
gfx950,torch.bfloat16,torch.bfloat16,56,1,4,8,128,128,4,4,16,11.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,57,1,4,8,128,128,4,2,16,11.919500000000028
gfx950,torch.bfloat16,torch.bfloat16,58,1,4,8,128,128,4,2,16,12.019000000000005
gfx950,torch.bfloat16,torch.bfloat16,59,1,4,8,128,128,2,4,16,12.079000000000178
gfx950,torch.bfloat16,torch.bfloat16,60,1,4,8,128,128,2,4,16,12.259500000000116
gfx950,torch.bfloat16,torch.bfloat16,61,1,4,8,128,128,2,4,16,12.199999999999932
gfx950,torch.bfloat16,torch.bfloat16,62,1,4,8,128,128,2,4,16,12.319500000000062
gfx950,torch.bfloat16,torch.bfloat16,63,1,4,8,128,128,2,4,16,12.378999999999905
gfx950,torch.bfloat16,torch.bfloat16,64,1,4,8,128,128,4,4,16,12.418999999999869
gfx950,torch.bfloat16,torch.bfloat16,65,1,4,8,128,128,4,2,16,12.899000000000115
gfx950,torch.bfloat16,torch.bfloat16,66,1,4,8,128,128,4,2,16,12.959500000000048
gfx950,torch.bfloat16,torch.bfloat16,67,1,4,8,128,128,2,4,16,13.158999999999992
gfx950,torch.bfloat16,torch.bfloat16,68,1,4,8,128,128,2,4,16,13.179499999999734
gfx950,torch.bfloat16,torch.bfloat16,69,1,4,8,128,128,4,2,16,13.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,70,1,4,8,128,128,8,1,16,13.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,71,1,4,8,128,128,2,4,16,13.320000000000164
gfx950,torch.bfloat16,torch.bfloat16,72,1,4,8,128,128,8,1,16,13.359500000000025
gfx950,torch.bfloat16,torch.bfloat16,73,1,4,8,128,128,8,1,16,13.439499999999953
gfx950,torch.bfloat16,torch.bfloat16,74,1,4,8,128,128,8,1,16,13.478999999999814
gfx950,torch.bfloat16,torch.bfloat16,75,1,4,8,128,128,8,1,16,13.479000000000156
gfx950,torch.bfloat16,torch.bfloat16,76,1,4,8,128,128,8,1,16,13.63900000000001
gfx950,torch.bfloat16,torch.bfloat16,77,1,4,8,128,128,8,1,16,13.638999999999896
gfx950,torch.bfloat16,torch.bfloat16,78,1,4,8,128,128,8,1,16,13.619499999999789
gfx950,torch.bfloat16,torch.bfloat16,79,1,4,8,128,128,8,1,16,13.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,80,1,4,8,128,128,8,1,16,13.739000000000033
gfx950,torch.bfloat16,torch.bfloat16,81,1,4,8,128,128,8,1,16,13.999499999999898
gfx950,torch.bfloat16,torch.bfloat16,82,1,4,8,128,128,8,1,16,14.158999999999992
gfx950,torch.bfloat16,torch.bfloat16,83,1,4,8,128,128,8,1,16,14.119500000000016
gfx950,torch.bfloat16,torch.bfloat16,84,1,4,8,128,128,4,1,8,14.45900000000006
gfx950,torch.bfloat16,torch.bfloat16,85,1,4,8,128,128,8,1,16,14.538999999999987
gfx950,torch.bfloat16,torch.bfloat16,86,1,4,8,128,128,8,1,16,14.539000000000101
gfx950,torch.bfloat16,torch.bfloat16,87,1,4,8,128,128,8,1,16,14.519500000000107
gfx950,torch.bfloat16,torch.bfloat16,88,1,4,8,128,128,8,1,16,14.779499999999985
gfx950,torch.bfloat16,torch.bfloat16,89,1,4,8,128,128,8,1,16,14.77949999999987
gfx950,torch.bfloat16,torch.bfloat16,90,1,4,8,128,128,8,1,16,14.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,91,1,4,8,128,128,8,1,16,14.939499999999953
gfx950,torch.bfloat16,torch.bfloat16,92,1,4,8,128,128,8,1,16,15.138999999999896
gfx950,torch.bfloat16,torch.bfloat16,93,1,4,8,128,128,4,1,8,15.398999999999887
gfx950,torch.bfloat16,torch.bfloat16,94,1,4,8,128,128,8,1,16,15.419000000000096
gfx950,torch.bfloat16,torch.bfloat16,95,1,4,8,128,128,4,2,16,15.339499999999816
gfx950,torch.bfloat16,torch.bfloat16,96,1,4,8,128,128,8,1,16,15.399500000000103
gfx950,torch.bfloat16,torch.bfloat16,97,1,4,8,128,128,2,2,8,16.318999999999733
gfx950,torch.bfloat16,torch.bfloat16,98,1,4,8,128,128,2,2,8,16.33949999999993
gfx950,torch.bfloat16,torch.bfloat16,99,1,4,8,128,128,2,2,8,16.698999999999955
gfx950,torch.bfloat16,torch.bfloat16,100,1,4,8,128,128,2,2,8,16.838999999999942
gfx950,torch.bfloat16,torch.bfloat16,101,1,4,8,128,128,1,4,8,17.019999999999982
gfx950,torch.bfloat16,torch.bfloat16,102,1,4,8,128,128,2,2,8,16.99899999999991
gfx950,torch.bfloat16,torch.bfloat16,103,1,4,8,128,128,2,2,8,17.119500000000016
gfx950,torch.bfloat16,torch.bfloat16,104,1,4,8,128,128,2,2,8,17.19900000000007
gfx950,torch.bfloat16,torch.bfloat16,105,1,4,8,128,128,1,4,8,17.33949999999993
gfx950,torch.bfloat16,torch.bfloat16,106,1,4,8,128,128,2,2,8,17.319499999999834
gfx950,torch.bfloat16,torch.bfloat16,107,1,4,8,128,128,2,2,8,17.319000000000187
gfx950,torch.bfloat16,torch.bfloat16,108,1,4,8,128,128,2,2,8,17.658999999999992
gfx950,torch.bfloat16,torch.bfloat16,109,1,4,8,128,128,1,4,8,17.69950000000017
gfx950,torch.bfloat16,torch.bfloat16,110,1,4,8,128,128,2,2,8,17.63900000000001
gfx950,torch.bfloat16,torch.bfloat16,111,1,4,8,128,128,2,2,8,17.620000000000005
gfx950,torch.bfloat16,torch.bfloat16,112,1,4,8,128,128,2,2,8,17.838999999999942
gfx950,torch.bfloat16,torch.bfloat16,113,1,4,8,128,128,2,2,8,18.07900000000018
gfx950,torch.bfloat16,torch.bfloat16,114,1,4,8,128,128,4,1,16,18.159000000000106
gfx950,torch.bfloat16,torch.bfloat16,115,1,4,8,128,128,4,1,16,18.259000000000015
gfx950,torch.bfloat16,torch.bfloat16,116,1,4,8,128,128,1,4,8,18.31899999999996
gfx950,torch.bfloat16,torch.bfloat16,117,1,4,8,128,128,4,1,16,18.499500000000012
gfx950,torch.bfloat16,torch.bfloat16,118,1,4,8,128,128,2,2,16,18.47900000000027
gfx950,torch.bfloat16,torch.bfloat16,119,1,4,8,128,128,4,4,16,18.73950000000002
gfx950,torch.bfloat16,torch.bfloat16,120,1,4,8,128,128,1,4,8,18.759000000000015
gfx950,torch.bfloat16,torch.bfloat16,121,1,4,8,128,128,4,1,16,18.91949999999997
gfx950,torch.bfloat16,torch.bfloat16,122,1,4,8,128,128,2,2,16,18.95900000000006
gfx950,torch.bfloat16,torch.bfloat16,123,1,4,8,128,128,2,2,16,19.05899999999997
gfx950,torch.bfloat16,torch.bfloat16,124,1,4,8,128,128,4,1,16,18.978999999999814
gfx950,torch.bfloat16,torch.bfloat16,125,1,4,8,128,128,2,2,16,19.099500000000035
gfx950,torch.bfloat16,torch.bfloat16,126,1,4,8,128,128,2,2,8,19.178999999999974
gfx950,torch.bfloat16,torch.bfloat16,127,1,4,8,128,128,4,1,16,19.219500000000153
gfx950,torch.bfloat16,torch.bfloat16,128,1,4,8,128,128,4,1,16,19.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,1,1,16,32,128,128,8,4,16,4.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,2,1,16,32,128,128,8,4,16,5.399000000000342
gfx950,torch.bfloat16,torch.bfloat16,3,1,16,32,128,128,8,4,16,5.878999999999905
gfx950,torch.bfloat16,torch.bfloat16,4,1,16,32,128,128,8,4,16,6.479000000000269
gfx950,torch.bfloat16,torch.bfloat16,5,1,16,32,128,128,8,4,16,7.09900000000016
gfx950,torch.bfloat16,torch.bfloat16,6,1,16,32,128,128,4,4,16,7.719000000000051
gfx950,torch.bfloat16,torch.bfloat16,7,1,16,32,128,128,8,4,16,8.399000000000342
gfx950,torch.bfloat16,torch.bfloat16,8,1,16,32,128,128,8,2,16,8.81899999999996
gfx950,torch.bfloat16,torch.bfloat16,9,1,16,32,128,128,4,4,16,9.479499999999462
gfx950,torch.bfloat16,torch.bfloat16,10,1,16,32,128,128,4,4,16,9.898999999999887
gfx950,torch.bfloat16,torch.bfloat16,11,1,16,32,128,128,2,4,16,10.559000000000196
gfx950,torch.bfloat16,torch.bfloat16,12,1,16,32,128,128,2,4,16,10.819000000000415
gfx950,torch.bfloat16,torch.bfloat16,13,1,16,32,128,128,2,4,16,11.378999999999905
gfx950,torch.bfloat16,torch.bfloat16,14,1,16,32,128,128,2,4,16,11.678999999999633
gfx950,torch.bfloat16,torch.bfloat16,15,1,16,32,128,128,4,2,16,11.918999999999869
gfx950,torch.bfloat16,torch.bfloat16,16,1,16,32,128,128,2,4,16,12.19900000000007
gfx950,torch.bfloat16,torch.bfloat16,17,1,16,32,128,128,4,2,16,12.87900000000036
gfx950,torch.bfloat16,torch.bfloat16,18,1,16,32,128,128,2,4,16,13.078999999999724
gfx950,torch.bfloat16,torch.bfloat16,19,1,16,32,128,128,2,4,16,13.47899999999936
gfx950,torch.bfloat16,torch.bfloat16,20,1,16,32,128,128,8,1,16,13.538999999999305
gfx950,torch.bfloat16,torch.bfloat16,21,1,16,32,128,128,8,1,16,14.15899999999965
gfx950,torch.bfloat16,torch.bfloat16,22,1,16,32,128,128,4,1,8,14.419000000000324
gfx950,torch.bfloat16,torch.bfloat16,23,1,16,32,128,128,4,1,8,14.759000000000015
gfx950,torch.bfloat16,torch.bfloat16,24,1,16,32,128,128,4,1,8,15.13949999999977
gfx950,torch.bfloat16,torch.bfloat16,25,1,16,32,128,128,2,2,8,16.539000000000215
gfx950,torch.bfloat16,torch.bfloat16,26,1,16,32,128,128,4,1,16,16.97900000000027
